hashtag,link,tweet
@policia,https://twitter.com/jesus_linaress/status/1041300399494504449,"@dergachi1 @policia  gracias policia por ayudarme en todo momento a denunciar a esta gente que coge fotos privadas sin permiso ,amenazas verbales y fisicas sin miramientos ,esta gente que no sabe donde esta el limite de las redes sociales donde todo es un show, tendran su castigo"
@policia,https://twitter.com/Leonard24198/status/1041300279919030272,"@LauraFangs @324cat @policia @guardiacivil @jusapol No es legítimo votar cualquier cosa. No se puede votar nada inconstitucional. Que le parecería que se votase sobre si imponemos la pena de muerte, el aborto o alguna barbaridad semejante? Les dejaría usted votar y después llevarlo a cano si o si? Ay ay ay...que engañados estais"
@policia,https://twitter.com/9Balas9/status/1041300214131433472,@Leonard24198 @324cat @policia @guardiacivil @jusapol Joder que pesado chaval.. esque no escuuuchas.. sales con lo mismo una y otra vez
@policia,https://twitter.com/BatshuRoy/status/1041300082212200450,"@DaniSoulBlack @albertmones @policia Y de paso, aprendes un poquito qué es lo que le interesa a Europa ;D https://t.co/0rwCK8IqUM"
@policia,https://twitter.com/NosMarcel/status/1041300072338808832,"@Leonard24198 @LauraFangs @324cat @policia @guardiacivil @jusapol Pero el 1-O perdisteis toda la credibilidad. Ahora solo sois españolistas, unionistas, algunos sois ultras (no todos claro) que os podeis manifestar por vuestros derechos pero ¿como vais a tener la simpatía de las personas a las que abristeis las cabezas a hostias?"
@policia,https://twitter.com/inigopascual21/status/1041300070518415361,"😀😀😀
@interiorgob @justiciagob @Defensagob @desdelamoncloa @sanchezcastejon @Albert_Rivera @policia @guardiacivil @mossos 

Iegalizacion del PP!
Ilegalizacion de C's!
#HayQueEcharlos‼️
#MafiaPP #PPMafia
#CartelDelPP #NarcoEstado
COCAINA

#MarcaEspaña @MarcaEspanaEN
👇 👇 👇👇 https://t.co/2dKdog9IQD"
@policia,https://twitter.com/kikefoz/status/1041300000649748483,"@Leonard24198 @joncme1 @mightymayte @cubells_jordi @lasvocesdelpue @policia @guardiacivil @interiorgob @jusapol Lo intenta la policia cada vez que la clase obrera se pone en huelga. Asique, de que cojones hablas?"
@policia,https://twitter.com/Leonard24198/status/1041299917287895040,"@9Balas9 @324cat @policia @guardiacivil @jusapol Eres tu el que ve bien evitar que alguien se manifieste conforme a sus derechos, que es lo único que he denunciado aquí."
@policia,https://twitter.com/liriuca/status/1041299877681156096,"@raf34349 @_decanno @HastaRabo @calleja_1986 @Betwin23 @tispter_ganador @VidalakenYT @juangayatipster @TomasLanster @alfonso180179 @Popbowmvp @carry4rose @rososcar @TipstersAzote @Verdeandoando @Pascumaqui1 @EstafasCaza @HomeXiki @J_y_L1 @EuDistinzione @TomatesEsSecret @pardillo_o @kikotewhite @valamarilla @jork9picks @Juangayasalom @CDRodrigo35 @Carlitossante @MarioVidal1978 @sergiloza @AzoteTipster @ApuestasArturo @ApuestasInsider @rojos_apuestas @WestApuesta @policia @TipsterApuesta @iSt7z_ @TipsAnalistas @guardiacivil @laSextaTV @RadioMARCA @agenciatributar @MinHacienda @ludopatia @EqInvestigacion @JuanTM19 @abc_es @elmundoes @alvaroojeda80 El pobre infeliz tenía tantas ganas d “vender sus apuestas d hoy” que ni tan siquiera llegando a los 500rt que pidió, las puso igual , todo para maquillar sus Rogelios d ayer en free, premiun y sus -23000 con el Madrid, la palabra d este vende humo vale menos que su visera vieja https://t.co/KNOfNJsXQm"
@policia,https://twitter.com/ANGELJREP/status/1041299734810517504,@SocenM @policia @guardiacivil el susodicho presumiendo de pasaporte deteriorado..
@policia,https://twitter.com/BatshuRoy/status/1041299727160102914,"@DaniSoulBlack @albertmones @policia La independencia está prohibida JAJAJAJAJAJA Con tu orgullo españolito, abre el link y si tienes huevos aguanta hasta el último minuto, y así te cultivas un poco https://t.co/TFYoZQBned"
